GEO_ID,NAME,S1501_C01_001E,S1501_C01_006E,Sum- overall total population
37001,"Alamance County, North Carolina",17574,111693,129267
37003,"Alexander County, North Carolina",2858,26895,29753
37005,"Alleghany County, North Carolina",663,8516,9179
37007,"Anson County, North Carolina",1917,17637,19554
37009,"Ashe County, North Carolina",1663,20583,22246
37011,"Avery County, North Carolina",1584,13404,14988
37013,"Beaufort County, North Carolina",3343,34348,37691
37015,"Bertie County, North Carolina",1538,14294,15832
37017,"Bladen County, North Carolina",2447,23913,26360
37019,"Brunswick County, North Carolina",7331,109023,116354
37021,"Buncombe County, North Carolina",19882,191656,211538
37023,"Burke County, North Carolina",7351,65944,73295
37025,"Cabarr County, North Carolina",16834,140582,157416
37027,"Caldwell County, North Carolina",6279,59145,65424
37029,"Camden County, North Carolina",575,7659,8234
37031,"Carteret County, North Carolina",4508,52687,57195
37033,"Caswell County, North Carolina",1901,16498,18399
37035,"Catawba County, North Carolina",13301,110092,123393
37037,"Chatham County, North Carolina",4360,53820,58180
37039,"Cherokee County, North Carolina",1791,21982,23773
37041,"Chowan County, North Carolina",561,10635,11196
37043,"Clay County, North Carolina",603,8681,9284
37045,"Cleveland County, North Carolina",8911,67371,76282
37047,"Columb County, North Carolina",4666,39312,43978
37049,"Craven County, North Carolina",12432,67731,80163
37051,"Cumberland County, North Carolina",44109,207671,251780
37053,"Currituck County, North Carolina",1699,19466,21165
37055,"Dare County, North Carolina",2265,27533,29798
37057,"Davidson County, North Carolina",12633,117475,130108
37059,"Davie County, North Carolina",3065,30457,33522
37061,"Duplin County, North Carolina",4713,40087,44800
37063,"Durham County, North Carolina",32351,219286,251637
37065,"Edgecombe County, North Carolina",4040,36281,40321
37067,"Forsyth County, North Carolina",36820,254488,291308
37069,"Franklin County, North Carolina",5585,47485,53070
37071,"Gaston County, North Carolina",17876,154096,171972
37073,"Gates County, North Carolina",807,8388,9195
37075,"Graham County, North Carolina",637,6161,6798
37077,"Granville County, North Carolina",5072,42450,47522
37079,"Greene County, North Carolina",1697,15039,16736
37081,"Guilford County, North Carolina",58209,356145,414354
37083,"Halifax County, North Carolina",3801,36048,39849
37085,"Harnett County, North Carolina",11750,87575,99325
37087,"Haywood County, North Carolina",4056,46602,50658
37089,"Henderson County, North Carolina",7442,86747,94189
37091,"Hertford County, North Carolina",2714,16583,19297
37093,"Hoke County, North Carolina",4414,35253,39667
37095,"Hyde County, North Carolina",164,3843,4007
37097,"Iredell County, North Carolina",14271,123529,137800
37099,"Jackson County, North Carolina",8169,28028,36197
37101,"Johnston County, North Carolina",15933,135596,151529
37103,"Jones County, North Carolina",531,7159,7690
37105,"Lee County, North Carolina",4933,41399,46332
37107,"Lenoir County, North Carolina",4300,39290,43590
37109,"Lincoln County, North Carolina",5840,60879,66719
37111,"McDowell County, North Carolina",3101,33214,36315
37113,"Macon County, North Carolina",2288,26583,28871
37115,"Madison County, North Carolina",2144,15603,17747
37117,"Martin County, North Carolina",1601,16421,18022
37119,"Mecklenburg County, North Carolina",98680,738751,837431
37121,"Mitchell County, North Carolina",1060,11155,12215
37123,"Montgomery County, North Carolina",2244,19053,21297
37125,"Moore County, North Carolina",6107,71976,78083
37127,"Nash County, North Carolina",8238,65369,73607
37129,"New Hanover County, North Carolina",29543,159195,188738
37131,"Northampton County, North Carolina",1242,14980,16222
37133,"Onslow County, North Carolina",43726,106528,150254
37135,"Orange County, North Carolina",26571,91282,117853
37137,"Pamlico County, North Carolina",779,9995,10774
37139,"Pasquotank County, North Carolina",3785,27220,31005
37141,"Pender County, North Carolina",4580,43548,48128
37143,"Perquimans County, North Carolina",777,10183,10960
37145,"Person County, North Carolina",2987,28286,31273
37147,"Pitt County, North Carolina",31388,110155,141543
37149,"Polk County, North Carolina",1221,16106,17327
37151,"Randolph County, North Carolina",11345,99703,111048
37153,"Richmond County, North Carolina",4022,30577,34599
37155,"Robeson County, North Carolina",13451,85278,98729
37157,"Rockingham County, North Carolina",6759,65812,72571
37159,"Rowan County, North Carolina",12130,97428,109558
37161,"Rutherford County, North Carolina",4916,48154,53070
37163,"Sampson County, North Carolina",5313,42481,47794
37165,"Scotland County, North Carolina",3335,23648,26983
37167,"Stanly County, North Carolina",5035,43551,48586
37169,"Stokes County, North Carolina",3397,33691,37088
37171,"Surry County, North Carolina",5672,50955,56627
37173,"Swain County, North Carolina",1199,9777,10976
37175,"Transylvania County, North Carolina",2663,26044,28707
37177,"Tyrrell County, North Carolina",391,3050,3441
37179,"Union County, North Carolina",21364,151085,172449
37181,"Vance County, North Carolina",3860,30176,34036
37183,"Wake County, North Carolina",99173,731587,830760
37185,"Warren County, North Carolina",1671,14505,16176
37187,"Washington County, North Carolina",1174,8240,9414
37189,"Watauga County, North Carolina",15825,32681,48506
37191,"Wayne County, North Carolina",12000,82408,94408
37193,"Wilkes County, North Carolina",5138,49260,54398
37195,"Wilson County, North Carolina",7144,55686,62830
37197,"Yadkin County, North Carolina",2792,26924,29716
37199,"Yancey County, North Carolina",1258,13329,14587